Kosa Kata,Arti Kata
maxillary bone,Tulang rahang atas.
maxillary sinus,Sinus di kedua sisi rongga hidung di bawah mata.
meatotomy,Pembesaran meatus secara bedah.
meatus {meato},"Pembukaan luar saluran, seperti uretra."
medial,Di atau dekat tengah (tubuh).
medial plane,Garis imajiner yang membagi tubuh menjadi dua bagian kiri dan kanan yang sama.
mediastinoscopy,Pemeriksaan visual mediastinum dan semua organ di dalamnya menggunakan endoskopi.
mediastinum {mediastino},Bagian median dari rongga dada; septum antara dua area organ atau rongga.
"medication, medicine {medicación,medecina}",Obat yang melayani tujuan terapeutik.
medulla {médula},Bagian tengah ginjal yang lunak.
medulla oblongata,"Bagian batang otak yang mengatur fungsi jantung dan paru, menelan, muntah, batuk, dan bersin."
medullary,Besar dan berdaging.
medullary cavity,Rongga tengah lunak pada tulang yang sering menampung sumsum.
megakaryocyte {megacariocito},Sel besar di sumsum tulang merah yang membentuk trombosit.
melanin {melanina},"Pigmen yang dihasilkan oleh melanosit yang menentukan warna kulit, rambut, dan mata."
melanocyte {melanocito},Sel di epidermis yang menghasilkan melanin.
melanocyte-stimulating hormone (MSH),Hormon dilepaskan oleh kelenjar pituitari.
melatonin,Hormon yang dilepaskan oleh kelenjar pineal; mempengaruhi fungsi seksual dan pola tidur.
melena {melena},Darah tua di bangku.
membranous labyrinth,Salah satu dari dua tabung yang membentuk saluran setengah lingkaran.
menarche {menarca},Menstruasi pertama.
Meniere's disease,Peningkatan tekanan di dalam koklea.
"meninges (sing., meninx) {meninges}",Tiga lapis selaput yang menutupi dan melindungi otak dan sumsum tulang belakang.
meningioma {meningioma},Tumor yang muncul dari meninges.
meningitis {meningitis},Peradangan pada meninges.
meningocele {meningocele},"Pada spina bifida cystica, penonjolan tulang belakang meninges di atas permukaan kulit."
meningomyelocele {meningomielocele},"Pada spina bifida cystica, penonjolan meninges dan sumsum tulang belakang berada di atas permukaan kulit."
menometrorrhagia,Pendarahan tidak teratur atau berlebihan antara atau selama menstruasi.
menopause {menopausia},Waktu haid berhenti; biasanya antara usia 45 dan 55 tahun.
menorrhagia {menorragia},Pendarahan menstruasi yang berlebihan.
menstruation {menstruación},Pelepasan siklis lapisan rahim melalui vagina; biasanya setiap 28 hari.
mental retardation,Kondisi dengan fungsi intelektual di bawah rata-rata.
mesentery {mesenterio},Jaringan membran yang menempelkan usus kecil dan besar ke dinding otot di bagian punggung perut.
mesothelioma {mesotelioma},Kanker paru-paru langka yang berhubungan dengan asbestosis.
metabolism,Perubahan kimiawi dalam sel yang menyediakan energi atau proses dan aktivitas vital dan melaluinya bahan baru berasimila
metabolize,Untuk mengubah secara kimiawi atau fisik agar bermanfaat.
metacarpal {metacarpiano},Satu dari lima tulang tangan di antara pergelangan tangan dan jari-jari.
metaphysis {metáfisis},Bagian tulang panjang antara epifisis dan diafisis.
metastasis {metastasis},Penyebaran sel ganas ke bagian tubuh lainnya; penyebaran kanker dari area lokal.
metatarsal bones,Tulang kaki di antara punggung kaki (lengkung) dan jari kaki.
metrorrhagia {metrorragia},Perdarahan uterus di antara periode menstruasi.
microcytosis {microcitosis},Gangguan dengan sel darah merah kecil yang abnormal.
microglia {microglia},Jenis neuroglia yang menghilangkan kotoran.
microphage {micrófago},Sel fagositik kecil yang memakan zat asing.
midbrain {cerebro medio},Bagian dari batang otak yang terlibat dengan refleks visual.
middle lobe,Bagian tengah paru kanan.
midsagittal plane,pesawat Lihat bidang medial.
mind-body intervention,Terapi yang menggunakan kekuatan pikiran untuk mempengaruhi tubuh.
mineralocorticoid,Steroid disekresikan oleh korteks adrenal.
minimally invasive,"Dilakukan dengan sayatan sekecil mungkin, seperti pembersihan penyumbatan arteri dengan probe kecil yang menggunakan las"
miotic,Agen yang menyebabkan murid berkontraksi.
miscarriage {aborto espontáneo},Akhir kehamilan yang spontan dan prematur.
mitosis,Pembelahan sel.
mitral insufficiency or reflux,Aliran mundur darah karena katup mitral yang rusak.
mitral stenosis,Penyempitan abnormal pada pembukaan katup mitral.
mitral valve,Lihat katup bikuspid.
mitral valve prolapse,Aliran mundur darah ke atrium kiri karena penonjolan salah satu atau kedua katup mitral ke atrium kiri selama kontraksi.
mixed-episode disorder,Lihat gangguan bipolar.
modality,Metode pengobatan.
Moh's surgery,1. Pengangkatan lapisan tipis jaringan ganas hingga ditemukan jaringan non-ganas. 2. Penghapusan karsinoma setelah pemet
molar,Salah satu dari tiga gigi di bagian belakang mulut yang paling jauh dari median garis rahang.
monocyte {monocito},Jenis agranulosit.
mons pubis,Gundukan jaringan lunak di genitalia luar yang ditutupi oleh rambut kemaluan setelah pubertas.
morning-after pill,Lihat abortifacient.
mouth {boca},Lubang di wajah tempat makanan dan air tertelan.
multiple-gated acquisition (MUGA) angiography,Pemindaian radioaktif menunjukkan fungsi jantung.
multiple myeloma,Tumor ganas sumsum tulang.
multiple sclerosis (MS),"Penyakit degeneratif dengan hilangnya mielin, mengakibatkan kelemahan otot, kelelahan ekstrem, dan kelumpuhan."
murmur {soplo},Suara jantung lembut berdengung terdengar di antara detak normal.
muscle {músculo},Jaringan kontraktil yang berperan besar dalam pergerakan tubuh.
muscle relaxant,Agen yang mengurangi kekakuan otot.
muscle tissue,Jaringan yang mampu berkontraksi dan rileks.
muscular dystrophy {distrofia muscular},"Gangguan degeneratif progresif yang mempengaruhi sistem muskuloskeletal dan, kemudian, organ lain."
musculoskeletal system {musculoesquelético},"Sistem tubuh yang meliputi otot, tulang, dan tulang rawan."
mutation,Perubahan DNA untuk menghasilkan sel yang rusak.
myalgia {mialgia},Nyeri otot.
myasthenia gravis,Penyakit yang melibatkan produksi antibodi yang berlebihan yang memblokir neurotransmiter tertentu; menyebabkan kelemaha
mydriatic,Agen yang menyebabkan pupil membesar.
myelin sheath,Jaringan lemak yang menutupi akson. myelitis [mi-6-LI-t7s] Radang sumsum tulang belakang.
myeloblast {mieloblasto},Granulosit yang belum matang.
myelogram {mielograma},X-ray sumsum tulang belakang setelah media kontras diinjeksi.
myelography {mielografía},Pencitraan radiografi sumsum tulang belakang.
myeloma {mieloma},Tumor sumsum tulang.
myocardial infarction,"Penurunan pasokan darah secara tiba-tiba ke area otot jantung, biasanya karena penyumbatan di arteri koroner."
myocarditis {miocarditis},Peradangan miokardium.
myocardium {miocardio},Lapisan otot jaringan jantung antara epikardium dan endokardium.
myodynia {miodinia},Nyeri otot.
myoma {mioma},Tumor otot jinak.
myomectomy {miomectomía},Pengangkatan fibroid dari rahim.
myometrium {miometrio},Lapisan tengah jaringan otot rahim.
myopia {miopía},Fokus di depan retina menyebabkan distorsi penglihatan; rabun jauh.
myoplasty,Perbaikan jaringan otot secara bedah.
myositis {miositis},Peradangan otot.
myringitis {myringitis},Radang gendang telinga.
myringotomy,Memasukkan tabung kecil untuk membantu mengalirkan cairan dari telinga (terutama dari anak-anak).
myxedema {mixedema},Hipotiroidisme dewasa lanjut.
nail {uña},Lapisan tipis keratin yang menutupi bagian distal jari tangan dan kaki.
narcolepsy {narcolepsia},Gangguan sistem saraf yang menyebabkan tidur nyenyak yang tak terkendali dan tiba-tiba.
narcotic,Agen yang meredakan nyeri dengan memicu keadaan pingsan atau euforia.
nasal bones,Tulang yang membentuk pangkal hidung.
nasal cavity,1. Rongga di kedua sisi septum hidung. 2. Pembukaan di hidung luar tempat udara masuk ke dalam tubuh.
nasal septum,Divisi tulang rawan dari hidung luar.
nasopharyngitis,Radang hidung dan faring.
nasopharyngoscopy,Pemeriksaan saluran hidung dan faring menggunakan endoskopi.
nasopharynx {nasofaringe},Porsi tenggorokan di atas langit-langit lunak.
natural immunity,"Resistensi yang melekat terhadap penyakit ditemukan pada suatu spesies, ras, kelompok keluarga, atau individu tertentu."
naturopathic medicine,Terapi yang menggunakan kekuatan penyembuhan tubuh sendiri untuk memelihara dan memulihkan kesehatan.
nausea {náusea},Perasaan mual di perut.
nearsightedness {miopía},Lamur.
nebulizers,Alat yang menyalurkan obat melalui hidung atau mulut dengan semprotan halus ke saluran pernapasan.
necrosis {necrosis},Kematian jaringan atau organ atau bagian karena kerusakan yang tidak dapat diperbaiki; biasanya akibat kekurangan oksige
necrotic,Mengandung jaringan mati.
needle biopsy,Pengangkatan sel untuk pemeriksaan dengan menyedotnya menggunakan jarum.
needle holder,Tang bedah digunakan untuk menahan dan melewatkan jarum jahit melalui jaringan.
neonate,Bayi di bawah empat minggu.
neonatology,Spesialisasi medis yang mendiagnosis dan mengobati gangguan pada neonatus.
neoplasm {neoplasma},Pertumbuhan jaringan yang tidak normal; tumor; pertumbuhan baru.
nephrectomy {nefrectomía},Pengangkatan ginjal.
nephritis {nefritis},Radang ginjal.
nephroblastoma {nefroblastoma},Lihat tumor Wilms.
nephrolithotomy,Operasi pengangkatan batu ginjal.
nephrolysis,Penghapusan adhesi ginjal.
nephroma,Tumor ginjal apa saja.
nephron,Unit fungsional ginjal.
nephropexy,Operasi pemasangan ginjal ke dinding perut.
nephrorrhaphy,Menjahit ginjal yang rusak.
nephrosis,Gangguan akibat hilangnya protein dalam urin.
nephrostomy,Pembukaan dari pelvis ginjal ke luar tubuh.
nerve {nervio},Kumpulan neuron yang membawa pesan listrik ke organ dan otot tubuh.
nerve cell,"Sel dasar sistem saraf yang terdiri dari tiga bagian: badan sel, dendrit, dan akson; neuron."
nerve conduction velocity,Waktu konduktivitas sengatan listrik yang diberikan ke saraf tepi.
nerve impulse,Energi yang dilepaskan yang diterima atau disalurkan oleh jaringan atau organ dan biasanya memicu respons.
nervous system,"Sistem tubuh yang mencakup otak, sumsum tulang belakang, dan saraf serta mengontrol sebagian besar fungsi tubuh dengan m"
nervous tissue,Jaringan khusus yang membentuk sel saraf dan mampu mentransmisikan pesan.
neural canal,Ruang yang dilalui sumsum tulang belakang.
neurectomy {neurectomía},Operasi pengangkatan saraf.
neurilemma {neurilema},Selubung membran yang melindungi selubung mielin.
neuritis {neuritis},Radang saraf.
neuroglia nu-R3G-le-ål] cell,Sel sistem saraf yang tidak mengirimkan impuls.
neurohypophysis,Lobus posterior kelenjar pituitari.
neuron {neurona},Sel dasar sistem saraf yang terdiri dari tiga bagian; sel saraf.
neuroplasty,Perbaikan saraf secara bedah.
neuroretina,Lapisan tebal jaringan saraf di retina.
neurorrhaphy,Menjahit saraf yang terputus.
"neurosis (pl., neuroses)",Kondisi perilaku biasanya melibatkan kecemasan yang dapat diatasi oleh pasien yang tidak meningkat ke tingkat psikosis.
neurosurgeon {neurocirujano},Spesialis medis yang melakukan operasi pada otak dan sumsum tulang belakang.
neurotomy,Diseksi saraf.
neurotransmitters {neurotramisor},Berbagai zat terletak di kantung-kantung kecil di ujung akson.
neutrophil {neutrófilo},Jenis leukosit; granulosit.
"nevus (pl., nevi) {nevo}",Tahi lalat.
nipple {pezón},Proyeksi di puncak payudara tempat ASI mengalir selama menyusui.
nitrate,"Salah satu dari beberapa obat yang melebarkan vena, arteri, atau arteri koroner; digunakan untuk mengontrol angina."
nitrous oxide,Gas anestesi yang dihirup oleh pasien.
nocturia {nocturia},Buang air kecil malam hari.
nodular,Dibentuk dalam kelompok yang ketat.
nodule {nódulo},Kenop kecil jaringan.
non-Hodgkin's lymphoma,Kanker kelenjar getah bening dengan beberapa sel yang menyerupai sel sehat dan menyebar dengan pola menyebar.
noninsulin-dependent diabetes mellitus (NIDDM),Lihat diabetes tipe II.
"nonsteroidal anti-inflammatory drug (NSAID) {agentes de antiiflamatorios no esteroideos, AINE}",Agen atau obat yang mengurangi peradangan tanpa menggunakan steroid.
norepinephrine {norepinefrina},Hormon disekresikan oleh medula adrenal.
nose {nariz},Struktur luarnya ditopang oleh tulang hidung dan mengandung rongga hidung.
nosebleed {epistaxis},Lihat epistaksis.
nostrils {naris},Bukaan eksternal di pangkal hidung; juga disebut nares eksternal.
Novocaine,anestesi yang disuntikkan di dekat tempat yang sedang dirawat.
nuclear medicine,Spesialisasi medis untuk mengobati penyakit dengan zat radioaktif.
nucleus pulposus,Massa berserat di bagian tengah diskus intervertebralis.
nyctalopia {nictalopía},Buta ayam.
nystagmus {nistagmo},Gerakan bola mata berlebihan yang tidak disengaja.
obesity {obesidad},Penumpukan lemak yang tidak normal di dalam tubuh.
obsessive-compulsive disorder,Kondisi dengan perasaan obsesif kompulsif.
obstetrician {obstetra},Dokter spesialis kehamilan dan perawatan persalinan.
obstetrics,"Spesialisasi medis yang membimbing wanita selama pembuahan, kehamilan, dan kelahiran."
occipital bone,Tulang yang membentuk bagian punggung bawah tengkorak.
occipital lobe,Salah satu dari empat bagian setiap belahan otak besar.
occlusion {oclusión},Pemblokiran pembuluh darah; penutupan pembuluh darah.
odontalgia,Sakit gigi.
olecranon {olécranon},Ujung melengkung dari ulna tempat tendon otot lengan menempel; tulang siku yang menonjol.
olfactory organs,Organ di bagian atas rongga hidung mengandung reseptor penciuman.
oligodendroglia {oligodendroglia},Jenis neuroglia yang menghasilkan mielin dan membantu mendukung neuron.
oligodendroglioma {oligodendroglioma},Jenis glioma yang terbentuk dari oligodendroglia.
oligomenorrhea {oligomenorrea},Periode menstruasi sedikit.
oligo-ovulation,Ovulasi tidak teratur.
oligospermia {oligospermia},Produksi sperma sedikit.
oliguria {oliguria},Produksi urin sedikit.
oncogene,Fragmen DNA yang menyebabkan keganasan.
"onychia, onychitis {oniquia}",Radang kuku.
onychopathy {onicopatia},Penyakit kuku.
oocyte {oocito},Sel telur yang belum matang diproduksi di gonad.
oophorectomy {ooforectomía},Pengangkatan ovarium.
open fracture,Fraktur dengan luka kulit terbuka; fraktur majemuk.
operation,"Setiap prosedur pembedahan, seperti pengangkatan, transplantasi, atau manipulasi jaringan."
ophthalmologist {oftalmólogo},Spesialis medis yang mendiagnosis dan merawat gangguan mata.
ophthalmoscopy {oftalmoscopia},Pemeriksaan visual bagian dalam mata.
opportunistic infection,Infeksi yang terjadi karena respon imun yang menurun.
optic nerve,Saraf yang mentransmisikan impuls saraf dari mata ke otak.
optician,Teknisi yang membuat dan memasang lensa korektif.
optometrist {optometrista},Spesialis nonmedis yang memeriksa mata dan meresepkan lensa.
oral administration,Menelan pil atau cairan melalui mulut.
orchidectomy {orquidectomía},Pengangkatan testis.
orchiectomy {orquiectomía},Pengangkatan testis.
organ,Kelompok jaringan khusus yang menjalankan fungsi tertentu.
organ of Corti,Struktur pada membran basilar dengan reseptor mirip rambut yang menerima dan mengirimkan gelombang suara.
origin {origen},Titik di mana otot menempel pada tulang stasioner.
oropharynx {orofaringe},"Bagian belakang mulut, merupakan bagian dari faring."
orthodontics,Spesialisasi gigi berkaitan dengan koreksi dan pencegahan penyimpangan dalam penempatan dan penampilan gigi.
orthopedist or-tho-PED-7k] surgeon,"Dokter yang memeriksa, mendiagnosis, dan menangani gangguan pada sistem muskuloskeletal."
orthopnea {ortopnea},"Kesulitan bernapas, terutama saat berbaring."
"orthosis, orthotic {ortosis, ortótica}",Alat luar yang digunakan untuk melumpuhkan atau membantu pergerakan tulang belakang atau anggota tubuh.
osseous tissue,Jaringan ikat tempat garam kalsium disimpan.
osseus labyrinth,Salah satu dari dua tabung yang membentuk saluran setengah lingkaran.
ossification {osificación},Pengerasan menjadi tulang.
ostealgia {ostealgia},Sakit tulang.
osteoarthritis {osteoartritis},Artritis dengan hilangnya tulang rawan.
osteoblast {osteoblasto},Sel yang membentuk tulang.
osteoclasis {osteoclasia},Mematahkan tulang untuk memperbaiki atau mengubah posisinya.
osteoclast {osteoclasto},Sel besar yang menyerap kembali dan mengangkat jaringan tulang.
osteocyte {osteocito},Sel tulang.
osteodynia {osteodinia},Sakit tulang.
osteoma {osteoma},"Tumor jinak, biasanya di tengkorak atau rahang bawah."
osteomyelitis {osteomielitis},Radang sumsum tulang dan tulang di sekitarnya.
osteopath {osteópata},Dokter yang menggabungkan pengobatan manipulatif dengan tindakan terapeutik konvensional.
osteoplasty {osteoplastia},Operasi penggantian atau perbaikan tulang.
osteoporosis {osteoporosis},Penipisan tulang yang degeneratif.
osteosarcoma {osteosarcoma},Tumor tulang ganas.
osteotomy {osteotomía},Pemotongan tulang.
otalgia {otalgia},Sakit di telinga.
otitis externa {otitis externa},Infeksi jamur pada saluran telinga luar.
otitis media {otitis media},Radang telinga tengah.
otoliths {otolito},Kalsifikasi kecil di telinga bagian dalam yang membantu menjaga keseimbangan.
otologist {otólogo},Spesialis medis dalam gangguan telinga.
otoplasty {otoplastia},Perbaikan bedah telinga luar.
otorhinolaryngologist,"Dokter medis yang mendiagnosis dan mengobati gangguan pada telinga, hidung, dan tenggorokan."
otorrhagia {otorragia},Pendarahan dari telinga.
otorrhea {otorrea},Keluarnya cairan bernanah dari telinga.
otosclerosis {otosclerosis},Pengerasan tulang telinga.
otoscopy {otoscopia},Pemeriksaan telinga menggunakan otoskop.
ovary {ovario},Salah satu dari dua kelenjar yang menghasilkan sel telur; salah satu dari dua kelenjar reproduksi wanita yang mengeluark
overdose,Dosis racun suatu zat.
over-the-counter (OTC),Tersedia untuk dijual tanpa resep dokter.
ovulation {ovulación},"Pelepasan sel telur (atau jarang, lebih dari satu sel telur) sebagai bagian dari siklus bulanan yang mengarah pada pembu"
"ovum (pl., ova) {óvulo}","Sel kelamin wanita dewasa diproduksi oleh ovarium, yang kemudian melakukan perjalanan ke rahim. Jika dibuahi, itu ditana"
oxytocin {oxitocina},Hormon diberikan untuk menginduksi persalinan; hormon yang dilepaskan oleh kelenjar pituitari posterior untuk membantu k
pacemaker {marcapaso},"Istilah untuk simpul sinoatrial (SA); juga, alat buatan yang mengatur irama jantung."
palatine bone,Tulang yang membantu membentuk langit-langit keras dan rongga hidung; terletak di belakang tulang rahang atas.
palatine tonsils,Jaringan limfatik yang bekerja sebagai bagian dari sistem kekebalan; gundukan jaringan limfatik di kedua sisi faring.
palpitations {palpitaciones},Denyut jantung yang tidak nyaman terasa seperti debaran di dada.
palsy {parálisis},Kelumpuhan sebagian atau seluruhnya.
pancreas {páncreas},Organ pencernaan yang mengeluarkan cairan pencernaan; kelenjar endokrin yang mengatur gula darah; kelenjar dari sistem e
pancreatectomy {pancreatectomía},Pengangkatan pankreas.
pancreatitis {pancreatitis},Radang pankreas.
pancytopenia {pancitopenia},Kondisi dengan jumlah komponen darah yang rendah.
pansinusitis,Peradangan pada semua sinus.
Papanicolaou (Pap) smear,Pengumpulan sel dari serviks dan vagina untuk mengamati kelainan.
"papilla (pl., papillae) {papilas}",Tonjolan kecil di permukaan lidah bagian atas yang berisi pengecap.
papillary,Memiliki papila yang menonjol dari sel.
papillary layer,Sublapisan tipis dermis yang mengandung papila kecil (massa seperti puting).
papule {pápula},Peninggian kecil dan padat pada kulit.
para,Wanita yang melahirkan satu atau lebih bayi yang layak.
paracentesis,Insisi ke dalam rongga perut untuk mengeluarkan cairan atau mengurangi tekanan.
paracusis {paracusia},Gangguan pendengaran.
paranasal sinuses,Area rongga hidung tempat udara luar dihangatkan oleh darah di lapisan selaput lendir.
paranoia,Ketidakpercayaan ekstrim yang tidak berdasar pada orang lain.
parasiticide,Agen yang membunuh atau memperlambat pertumbuhan parasit.
parasympathetic nervous system,Bagian dari sistem saraf otonom yang beroperasi saat tubuh dalam keadaan normal.
parathormone (PTH) {parathormona},Hormon paratiroid.
parathyroid gland {paratiroide},Salah satu dari empat kelenjar yang terletak berdekatan dengan kelenjar tiroid pada permukaan punggungnya yang membantu
parathyroid hormone (PTH),Hormon yang dikeluarkan oleh kelenjar paratiroid membantu meningkatkan kadar kalsium darah.
parathyroidectomy,Pengangkatan satu atau lebih kelenjar paratiroid.
parenteral administration,Pemberian obat melalui suntikan.
paresthesia,"Sensasi yang tidak normal, seperti kesemutan."
parietal bone,Tulang datar dan melengkung di kedua sisi bagian atas tengkorak.
parietal lobe,Salah satu dari empat bagian setiap belahan otak besar.
parietal pleura,Lapisan luar pleura.
Parkinson's disease,Degenerasi saraf di otak disebabkan kurangnya dopamin yang cukup.
paronychia {paroniquia},"Peradangan, dengan nanah, pada lipatan yang mengelilingi lempeng kuku."
"parotitis, parotiditis",Peradangan pada kelenjar parotis.
paroxysmal {paroxístico},"Tiba-tiba, seperti kejang atau kejang."
partial,Satu atau lebih gigi pengganti tiruan.
partial thromboplastin time (PTT),Uji kemampuan darah untuk membeku.
parturition {parturición},Kelahiran.
patch {placa},Area kecil kulit yang berbeda warnanya dari area sekitarnya; plak.
patch test,Uji sensitivitas alergi di mana dosis kecil antigen dioleskan ke kulit dengan sepotong kecil kain kasa.
patella {rótula},Tulang sesamoid besar yang membentuk tempurung lutut.
patent ductus arteriosus,"Kondisi saat lahir saat duktus arteriosus, saluran kecil antara aorta dan arteri pulmonalis, tetap terbuka secara tidak"
pathogen {patógeno},Agen penyebab penyakit.
pathological fracture,Fraktur terjadi di lokasi tulang yang sudah rusak.
peak flow meter,Alat untuk mengukur kapasitas pernapasan.
pediatrics,Spesialisasi medis yang mendiagnosis dan mengobati gangguan pada anak-anak sejak bayi hingga remaja.
pediculated polyp,Polip yang menonjol ke atas dari tangkai yang ramping.
pediculosis {pediculosis},Infestasi kutu. pedodontist [pe-do-D3N-t7st] Dokter gigi yang mengkhususkan diri dalam perawatan gigi anak-anak.
pelvic cavity,Ruang tubuh di bawah rongga perut yang meliputi alat reproduksi; rongga berbentuk cangkir yang dibentuk oleh tulang besa
pelvic girdle,Tulang pinggul.
pelvimetry,Pengukuran panggul selama kehamilan.
pelvis {pelvis},Cincin tulang dan ligamen berbentuk cangkir di pangkal batang.
pemphigus {pénfigo},Penyakit autoimun yang menyebabkan kulit melepuh.
penis {pene},Bagian reproduksi pria yang menutupi uretra di luar tubuh.
pepsin {pepsina},Enzim pencernaan sari lambung.
peptic ulcer,Sakit pada selaput lendir sistem pencernaan; tukak lambung atau tukak lambung.
percussion {percusión},Mengetuk permukaan tubuh untuk melihat apakah paru-paru bersih.
percutaneous transluminal coronary angioplasty,Lihat dilatasi kateter balon.
perfusion deficit,"Kurangnya aliran melalui pembuluh darah, biasanya disebabkan oleh oklusi."
impacted fracture,Fraktur di mana fragmen dari satu bagian fraktur didorong ke dalam jaringan di bagian lain.
inhibiting factor,Zat dalam hormon yang mencegah sekresi hormon lain.
internal fixation device,"Perangkat, seperti peniti, dimasukkan ke dalam tulang untuk menahannya di tempatnya."
internal respiration,Pertukaran oksigen dan karbon dioksida antar sel.
involuntary muscle,Otot tidak bisa digerakkan sesuka hati.
irregular bones,"Salah satu kelompok tulang dengan bentuk khusus yang cocok dengan area kerangka tertentu, seperti tengkorak."
kidney failure,Hilangnya fungsi ginjal.
"kidney, ureter, bladder (KUB)",Sinar-X dari tiga bagian sistem kemih.
myelitis,Peradangan pada sumsum tulang belakang.
pedodontist,Dokter gigi yang mengkhususkan diri dalam perawatan gigi anak-anak.
pericarditis {pericarditis},Peradangan pada perikardium.
pericardium {pericardio},Selubung pelindung jantung.
perilymph,Cairan disekresikan oleh dinding labirin osseus.
perimenopause,Periode tiga sampai lima tahun penurunan kadar estrogen sebelum menopause.
perimetrium {perimetrio},Lapisan luar rahim.
perineum {perineo},Ruang antara labia majora dan anus; area antara penis dan anus.
periodontist,Dokter gigi yang mengkhususkan diri dalam pengobatan penyakit gusi.
periosteum {periostio},Membran berserat menutupi permukaan tulang.
peripheral vascular disease,"Penyakit vaskular di ekstremitas bawah, biasanya karena penyumbatan di arteri selangkangan atau tungkai."
peristalsis {peristaltismo},Kontraksi otot polos yang terkoordinasi dan berirama yang memaksa makanan melalui saluran pencernaan.
peritoneal dialysis,Jenis dialisis di mana cairan yang mengekstrak zat dari darah dimasukkan ke dalam rongga peritoneum dan dikosongkan di l
peritoneoscopy {peritoneoscopia},Pemeriksaan rongga perut menggunakan peritoneoskop.
peritonitis {peritonitis},Peradangan pada peritoneum.
permanent teeth,Gigi kedua yang tumbuh secara berkala mulai sekitar usia enam tahun.
pertussis {pertussis},"Infeksi parah pada faring, laring, dan trakea yang disebabkan oleh bakteri; batuk rejan."
PET (positron emission tomography) scan {TEP},Pencitraan otak menggunakan isotop radioaktif dan tomografi; serangkaian gambar yang menunjukkan distribusi zat melalui
"petechia (pl., petechiae) {petequia}",Perdarahan kecil di bawah permukaan kulit; perdarahan kecil di kulit.
petit mal seizure,Lihat kejang absen.
Peyronie's disease,Kelengkungan penis yang tidak normal yang disebabkan oleh pengerasan di bagian dalam penis.
pH,Pengukuran keasaman atau alkalinitas suatu larutan seperti urin.
phacoemulsification,Penggunaan USG untuk memecah dan menghilangkan katarak.
phagocytosis {fagocitosis},Penelanan zat asing oleh sel khusus.
"phalanges (sing., phalanx) {falange}",Tulang panjang jari tangan dan kaki.
"phantom limb, phantom pain",Nyeri terasa pada anggota tubuh yang lumpuh atau diamputasi.
pharmacist,Orang yang memiliki izin untuk memberikan obat.
pharmacodynamics,Studi tentang bagaimana obat mempengaruhi tubuh.
pharmacokinetics,"Studi tentang bagaimana tubuh menyerap, memetabolisme, dan mengeluarkan obat-obatan."
pharmacology {farmacología},"Ilmu yang mempelajari, mengembangkan, dan menguji obat baru."
pharyngeal tonsils,Adenoid.
pharyngitis {faringitis},Peradangan pada faring.
pharynx {faringe},Lorong di belakang mulut untuk udara dan makanan; tenggorokan; tabung di mana makanan melewati kerongkongan.
phenylketones,"Zat yang, jika terakumulasi dalam urin bayi, menunjukkan fenilketonuria (PKU), penyakit yang diobati dengan diet."
phimosis {fimosis},Penyempitan pembukaan kulup yang tidak normal.
phlebitis {flebitis},Peradangan pembuluh darah.
phlebography {flebografía},Melihat vena dengan x-ray setelah injeksi media kontras.
phlebotomy {flebotomía},Mengambil darah dari vena melalui sayatan kecil; Lihat venipuncture.
phobia,Ketakutan yang irasional atau obsesif terhadap sesuatu.
phosphorus {fósforo},Mineral penting untuk pembentukan tulang.
photophobia {fotofobia},Sensitivitas ekstrim terhadap cahaya.
physical therapy,Terapi gerakan untuk memulihkan penggunaan area tubuh yang rusak.
pia mater {piamadre},Lapisan meninges paling dalam.
pica,"Gangguan makan di mana pasien secara kompulsif mengonsumsi zat non-gizi, seperti tanah liat dan cat."
pilonidal cyst,"Rambut yang mengandung kista, biasanya ditemukan di ujung bawah tulang belakang."
pineal gland,Kelenjar yang terletak di atas kelenjar pituitari; mengeluarkan melatonin.
pinkeye,Konjungtivitis.
pinna,Daun telinga.
pituitary gland,Kelenjar endokrin utama; mengeluarkan hormon penting untuk fungsi metabolisme.
placenta {placenta},Organ kaya nutrisi yang berkembang di dalam rahim selama kehamilan; memasok nutrisi ke janin.
placenta previa,Penempatan plasenta sehingga menghalangi jalan lahir.
plantar wart,Kutil di telapak kaki.
plaque {placa},Mikroorganisme yang tumbuh pada mahkota di sepanjang akar gigi menyebabkan kerusakan gigi dan kerusakan gusi; lihat tamb
plasma,Porsi cair dari darah yang tidak membeku.
plasma {plasma} cell,Limfosit khusus yang menghasilkan imunoglobulin.
plasmapheresis {plasmaféresis},"plasmaféresis} Proses mengeluarkan darah dari seseorang, disentrifugasi, dan hanya mengembalikan sel darah merah ke ora"
plastic surgery,Perbaikan atau rekonstruksi (seperti pada kulit) dengan operasi.
platelet {plaqueta},Trombosit; bagian dari megakariosit yang memulai pembekuan.
platelet count (PLT),Pengukuran jumlah trombosit dalam sampel darah.
play therapy,Mengungkap perasaan melalui permainan dengan terapis terlatih.
pleomorphic,Memiliki banyak jenis sel.
"pleura (pl., pleurae) {pleura}",Lapisan ganda membran yang menyusun bagian luar paru-paru.
pleural cavity,Ruang di antara dua pleura.
pleural effusion,Keluarnya cairan ke dalam rongga pleura.
"pleuritis, pleurisy {pleuritis}",Peradangan pada pleura.
pleurocentesis,Tusukan ruang pleura secara bedah.
pleuropexy,"Memperbaiki tempat pleura melalui pembedahan, biasanya jika terjadi cedera atau kerusakan."
pneumobronchotomy,Insisi paru dan bronkus.
pneumoconiosis {neumoconiosis},Kondisi paru-paru akibat menghirup debu.
